farm_id,angle_deg,n_turb,country,TI,expected_AEP_kWh,expected_AEP_noWake_kWh,expected_CF,expected_WakeLoss,precompute_time_s
35,120,120,China,0.07,3439850987.233711,4414586308.1997385,0.32723087778098464,0.2207987913058887,73.7783724999972
35,130,120,China,0.07,3491285657.6544704,4414586308.1997385,0.332123825880372,0.2091477176084,73.09241189999739
35,140,120,China,0.07,3579369702.93093,4414586308.1997385,0.3405032061387871,0.18919476185513937,73.54642089999834
35,150,120,China,0.07,3667697597.486022,4414586308.1997385,0.34890578362690466,0.16918656892638634,73.28017359999649
35,160,120,China,0.07,3727999758.2523584,4414586308.1997385,0.35464229054912083,0.15552681542823182,73.8077381999974
35,170,120,China,0.07,3758074881.6574745,4414586308.1997385,0.3575033182703077,0.1487141445899125,73.63936249999824
35,0,120,China,0.07,3737352402.543666,4414586308.1997385,0.35553200176404737,0.153408237686545,61.5257888000051
35,10,120,China,0.07,3650135064.2951202,4414586308.1997385,0.3472350708043303,0.17316486541099257,72.27173119999497
35,20,120,China,0.07,3561984197.292315,4414586308.1997385,0.33884933383678795,0.19313295774142727,73.0186057999963
35,30,120,China,0.07,3543886004.758202,4414586308.1997385,0.3371276640751714,0.1972325927401806,73.18899529999908
35,40,120,China,0.07,3569379559.264063,4414586308.1997385,0.33955285000609425,0.1914577470975643,73.04425020000053
35,50,120,China,0.07,3619347548.3189034,4414586308.1997385,0.34430627362242233,0.18013890869088756,72.99535019999894
35,60,120,China,0.07,3668169546.8058887,4414586308.1997385,0.3489506798711842,0.16907966212087436,72.41955510000116
35,70,120,China,0.07,3698947139.4432282,4414586308.1997385,0.35187853305205746,0.16210786669348115,73.02974910000194
35,80,120,China,0.07,3698454419.88081,4414586308.1997385,0.3518316609475656,0.16221947841154932,72.81338189999951
35,90,120,China,0.07,3654899276.138934,4414586308.1997385,0.3476882873039321,0.17208566760825286,73.08589439999923
35,100,120,China,0.07,3559173510.4994645,4414586308.1997385,0.33858195495618953,0.19376963954955725,73.02061929999763
35,110,120,China,0.07,3465640531.8356686,4414586308.1997385,0.329684221065037,0.21495689745638896,72.96691169999394
35,120,120,China,0.07,3439850987.233711,4414586308.1997385,0.32723087778098464,0.2207987913058887,72.92128429999866
35,130,120,China,0.07,3491285657.6544704,4414586308.1997385,0.332123825880372,0.2091477176084,73.00760440000158
35,140,120,China,0.07,3579369702.93093,4414586308.1997385,0.3405032061387871,0.18919476185513937,73.2690036999993
35,150,120,China,0.07,3667697597.486022,4414586308.1997385,0.34890578362690466,0.16918656892638634,73.20201360000647
35,160,120,China,0.07,3727999758.2523584,4414586308.1997385,0.35464229054912083,0.15552681542823182,72.79643750000105
35,170,120,China,0.07,3758074881.6574745,4414586308.1997385,0.3575033182703077,0.1487141445899125,73.30459950000659
35,0,120,China,0.07,3737352402.543666,4414586308.1997385,0.35553200176404737,0.153408237686545,74.71710760000133
35,10,120,China,0.07,3650135064.2951202,4414586308.1997385,0.3472350708043303,0.17316486541099257,73.1363765999995
35,20,120,China,0.07,3561984197.292315,4414586308.1997385,0.33884933383678795,0.19313295774142727,73.33737200000178
35,30,120,China,0.07,3543886004.758202,4414586308.1997385,0.3371276640751714,0.1972325927401806,73.22402239999792
35,40,120,China,0.07,3569379559.264063,4414586308.1997385,0.33955285000609425,0.1914577470975643,73.27776340000128
35,50,120,China,0.07,3619347548.3189034,4414586308.1997385,0.34430627362242233,0.18013890869088756,72.8004712999973
35,60,120,China,0.07,3668169546.8058887,4414586308.1997385,0.3489506798711842,0.16907966212087436,73.08922539999912
35,70,120,China,0.07,3698947139.4432282,4414586308.1997385,0.35187853305205746,0.16210786669348115,73.04915639999672
35,80,120,China,0.07,3698454419.88081,4414586308.1997385,0.3518316609475656,0.16221947841154932,73.08030789999611
35,90,120,China,0.07,3654899276.138934,4414586308.1997385,0.3476882873039321,0.17208566760825286,73.3223657999988
35,100,120,China,0.07,3559173510.4994645,4414586308.1997385,0.33858195495618953,0.19376963954955725,73.1773933000004
35,110,120,China,0.07,3465640531.8356686,4414586308.1997385,0.329684221065037,0.21495689745638896,73.3501929999984
35,120,120,China,0.07,3439850987.233711,4414586308.1997385,0.32723087778098464,0.2207987913058887,73.54277520000323
35,130,120,China,0.07,3491285657.6544704,4414586308.1997385,0.332123825880372,0.2091477176084,73.16926219999732
35,140,120,China,0.07,3579369702.93093,4414586308.1997385,0.3405032061387871,0.18919476185513937,73.48568710000109
35,150,120,China,0.07,3667697597.486022,4414586308.1997385,0.34890578362690466,0.16918656892638634,73.11563179999939
35,160,120,China,0.07,3727999758.2523584,4414586308.1997385,0.35464229054912083,0.15552681542823182,73.48050079999666
35,170,120,China,0.07,3758074881.6574745,4414586308.1997385,0.3575033182703077,0.1487141445899125,73.58546870000282
35,0,120,China,0.07,3737352402.543666,4414586308.1997385,0.35553200176404737,0.153408237686545,73.10294160000194
35,10,120,China,0.07,3650135064.2951202,4414586308.1997385,0.3472350708043303,0.17316486541099257,72.77218739999807
35,20,120,China,0.07,3561984197.292315,4414586308.1997385,0.33884933383678795,0.19313295774142727,73.13368829999672
35,30,120,China,0.07,3543886004.758202,4414586308.1997385,0.3371276640751714,0.1972325927401806,73.15757909999957
35,40,120,China,0.07,3569379559.264063,4414586308.1997385,0.33955285000609425,0.1914577470975643,73.2365162999995
35,50,120,China,0.07,3619347548.3189034,4414586308.1997385,0.34430627362242233,0.18013890869088756,73.26719890000095
35,60,120,China,0.07,3668169546.8058887,4414586308.1997385,0.3489506798711842,0.16907966212087436,73.0300930999947
35,70,120,China,0.07,3698947139.4432282,4414586308.1997385,0.35187853305205746,0.16210786669348115,73.49139269999432
35,80,120,China,0.07,3698454419.88081,4414586308.1997385,0.3518316609475656,0.16221947841154932,73.0580850999977
35,90,120,China,0.07,3654899276.138934,4414586308.1997385,0.3476882873039321,0.17208566760825286,73.48427690000244
35,100,120,China,0.07,3559173510.4994645,4414586308.1997385,0.33858195495618953,0.19376963954955725,73.27204319999873
35,110,120,China,0.07,3465640531.8356686,4414586308.1997385,0.329684221065037,0.21495689745638896,72.99911609999981
35,120,120,China,0.07,3439850987.233711,4414586308.1997385,0.32723087778098464,0.2207987913058887,73.33901460000197
35,130,120,China,0.07,3491285657.6544704,4414586308.1997385,0.332123825880372,0.2091477176084,73.38143760000094
35,140,120,China,0.07,3579369702.93093,4414586308.1997385,0.3405032061387871,0.18919476185513937,73.74298029999773
35,150,120,China,0.07,3667697597.486022,4414586308.1997385,0.34890578362690466,0.16918656892638634,73.74477929999557
35,160,120,China,0.07,3727999758.2523584,4414586308.1997385,0.35464229054912083,0.15552681542823182,73.2871451999963
35,170,120,China,0.07,3758074881.6574745,4414586308.1997385,0.3575033182703077,0.1487141445899125,73.46719350000058
34,0,125,China,0.1,6474040778.660732,7059378969.013085,0.5912366007909344,0.08291638583530875,77.22488339999836
34,10,125,China,0.1,6479309823.231588,7059378969.013085,0.5917177920759441,0.082169996585775,77.10759720000351
34,20,125,China,0.1,6519431064.423755,7059378969.013085,0.5953818323674662,0.07648660129445019,77.14385789999506
34,30,125,China,0.1,6497203067.419621,7059378969.013085,0.5933518783031618,0.07963531977261977,77.41769550000026
