farm_id,receptor_id,season,direction_deg,concentration,flux,rotor_height_fraction,evidence_level,conservation_weight,n_observations,source
40,radar_bauer_United Kingdom,spring,41.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
40,radar_bauer_United Kingdom,spring,51.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
40,radar_bauer_United Kingdom,spring,61.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
40,radar_bauer_United Kingdom,autumn,208.1,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
40,radar_bauer_United Kingdom,autumn,218.1,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
40,radar_bauer_United Kingdom,autumn,228.1,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
40,radar_bauer_United Kingdom,autumn,238.1,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
40,radar_bauer_United Kingdom,autumn,248.1,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
43,radar_bauer_Denmark,spring,29.200000000000003,0.157,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Denmark
43,radar_bauer_Denmark,spring,39.2,0.157,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Denmark
43,radar_bauer_Denmark,spring,49.2,0.157,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Denmark
43,radar_bauer_Denmark,spring,59.2,0.157,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Denmark
43,radar_bauer_Denmark,spring,69.2,0.157,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Denmark
43,radar_bauer_Denmark,autumn,215.3,0.157,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Denmark
43,radar_bauer_Denmark,autumn,225.3,0.157,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Denmark
43,radar_bauer_Denmark,autumn,235.3,0.157,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Denmark
43,radar_bauer_Denmark,autumn,245.3,0.157,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Denmark
43,radar_bauer_Denmark,autumn,255.3,0.157,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Denmark
58,radar_bauer_France,spring,36.3,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
58,radar_bauer_France,spring,46.3,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
58,radar_bauer_France,spring,56.3,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
58,radar_bauer_France,spring,66.3,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
58,radar_bauer_France,spring,76.3,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
58,radar_bauer_France,autumn,218.4,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
58,radar_bauer_France,autumn,228.4,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
58,radar_bauer_France,autumn,238.4,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
58,radar_bauer_France,autumn,248.4,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
58,radar_bauer_France,autumn,258.4,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
67,radar_bauer_United Kingdom,spring,21.700000000000003,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
67,radar_bauer_United Kingdom,spring,31.700000000000003,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
67,radar_bauer_United Kingdom,spring,41.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
