farm_id,country,centroid_lat,centroid_lon,n_turb,capacity_kW,data_radar,data_dist,all_radar,all_dist,group
157,Denmark,55.3441,10.9604,7,70000,deess,622.780404546715,denhb,196.08108276774132,Europe (no direction data)
158,Ireland,52.7915,-5.9468,7,70000,nlhrw,1187.4751388257735,frabb,912.3781410343465,Europe (no direction data)
159,Vietnam,9.2966,106.1245,7,70000,deess,11957.28722681951,denhb,11680.050532927116,East Asia
160,United States of America,41.1157,-71.5218,5,50000,nlhrw,8567.47309427029,frabb,8203.301158107102,Americas
161,United Kingdom,57.0045,-1.8649,5,50000,nlhrw,861.2045878393008,bejab,847.3745980388248,Europe (no direction data)
162,United Kingdom,55.1313,-1.4019,5,50000,nlhrw,724.515828260018,frabb,660.9691574917093,Europe (no direction data)
163,Sweden,57.0371,18.1467,5,50000,deess,1389.476697643865,denhb,912.3988348092624,Europe (no direction data)
164,United Kingdom,57.4875,-1.3561,5,50000,nlhrw,844.4274457824421,nlhrw,844.4274457824421,Europe (no direction data)
165,China,38.0457,118.4427,4,40000,deess,12461.943935082656,denhb,12085.619524718184,East Asia
166,Japan,39.7726,140.0107,4,40000,deess,14823.809707467484,denhb,14437.52339187692,East Asia
167,France,43.1903,4.794,3,30000,behel,875.189494377583,bewid,749.9921327539971,Europe (no direction data)
168,China,38.6193,117.5806,3,30000,deess,12359.465518754314,denhb,11981.91383222083,East Asia
169,China,34.4617,119.888,3,30000,deess,12674.129870933772,denhb,12306.82273885326,East Asia
170,Portugal,41.6868,-9.0573,3,30000,behel,1913.7820590493395,frabb,1529.3082253414877,Europe (no direction data)
