species,order,iucn,migratory,weight
Perdix hodgsoniae,Galliformes,LC,False,0.5
Perdix perdix,Galliformes,LC,False,0.5
Perdix dauurica,Galliformes,LC,False,0.5
Syrmaticus soemmerringii,Galliformes,NT,False,1.0
Syrmaticus reevesii,Galliformes,VU,False,1.5
Syrmaticus mikado,Galliformes,LC,False,0.5
Syrmaticus ellioti,Galliformes,LC,False,0.5
Syrmaticus humiae,Galliformes,VU,False,1.5
Chrysolophus pictus,Galliformes,LC,False,0.5
Chrysolophus amherstiae,Galliformes,LC,False,0.5
Phasianus colchicus,Galliformes,LC,False,0.5
Phasianus versicolor,Galliformes,LC,False,0.5
Catreus wallichii,Galliformes,VU,False,1.5
Crossoptilon harmani,Galliformes,LC,False,0.5
Crossoptilon crossoptilon,Galliformes,LC,False,0.5
Crossoptilon mantchuricum,Galliformes,LC,False,0.5
Crossoptilon auritum,Galliformes,LC,False,0.5
Lophura edwardsi,Galliformes,CR (PEW),False,0.25
Lophura swinhoii,Galliformes,NT,False,1.0
Lophura bulweri,Galliformes,VU,False,1.5
Lophura leucomelanos,Galliformes,LC,False,0.5
Lophura nycthemera,Galliformes,LC,False,0.5
Lophura erythrophthalma,Galliformes,CR,False,2.5
Lophura pyronota,Galliformes,EN,False,2.0
Lophura diardi,Galliformes,LC,False,0.5
Lophura inornata,Galliformes,NT,False,1.0
Lophura rufa,Galliformes,VU,False,1.5
Lophura ignita,Galliformes,VU,False,1.5
Rheinardia ocellata,Galliformes,CR,False,2.5
Rheinardia nigrescens,Galliformes,NT,False,1.0
Argusianus argus,Galliformes,VU,False,1.5
Afropavo congensis,Galliformes,NT,False,1.0
Pavo cristatus,Galliformes,LC,False,0.5
Pavo muticus,Galliformes,EN,False,2.0
Tropicoperdix chloropus,Galliformes,LC,False,0.5
Tropicoperdix tonkinensis,Galliformes,LC,False,0.5
Tropicoperdix charltonii,Galliformes,VU,False,1.5
Tropicoperdix graydoni,Galliformes,NT,False,1.0
Haematortyx sanguiniceps,Galliformes,LC,False,0.5
Galloperdix spadicea,Galliformes,LC,False,0.5
Galloperdix lunulata,Galliformes,LC,False,0.5
Galloperdix bicalcarata,Galliformes,LC,False,0.5
Polyplectron napoleonis,Galliformes,VU,False,1.5
Polyplectron schleiermacheri,Galliformes,EN,False,2.0
Polyplectron malacense,Galliformes,EN,False,2.0
Polyplectron germaini,Galliformes,VU,False,1.5
Polyplectron katsumatae,Galliformes,EN,False,2.0
Polyplectron bicalcaratum,Galliformes,LC,False,0.5
Polyplectron inopinatum,Galliformes,NT,False,1.0
Polyplectron chalcurum,Galliformes,LC,False,0.5
Bambusicola fytchii,Galliformes,LC,False,0.5
Bambusicola thoracicus,Galliformes,LC,False,0.5
Bambusicola sonorivox,Galliformes,LC,False,0.5
Gallus varius,Galliformes,LC,False,0.5
Gallus gallus,Galliformes,LC,False,0.5
Gallus sonneratii,Galliformes,LC,False,0.5
Gallus lafayettii,Galliformes,LC,False,0.5
Peliperdix lathami,Galliformes,LC,False,0.5
Ortygornis sephaena,Galliformes,LC,False,0.5
