farm_id,n_turbines,pc1_angle,explained_var_ratio,centroid_lat,centroid_lon,lat_range_km,lon_range_km,med_hub_height,med_rotor_diam,med_capacity_kw,med_start_year,n_hub_height,n_rotor,n_capacity,n_start_year
4756,68,167.21,0.9424,49.4343,4.4847,5.95,11.45,101.0,117.0,3000.0,2016.0,58,52,68,47
3860,68,24.24,0.9229,38.9595,-0.8993,5.26,7.7,39.5,52.0,850.0,,0,0,0,0
1729,68,4.18,0.6442,43.1156,-9.0773,3.61,3.73,36.4,48.0,750.0,,0,0,0,0
4711,68,174.6,0.9092,60.8049,16.3652,6.94,10.0,119.0,112.0,3070.0,2012.5,68,68,68,68
2949,67,43.09,0.9391,54.3368,16.3847,10.68,7.1,85.0,100.0,2500.0,,0,0,0,0
1671,67,1.19,0.9649,51.0346,10.6479,2.05,5.99,150.0,90.0,2000.0,2011.0,66,0,67,62
2497,67,47.83,0.6741,43.3718,-6.9424,8.13,6.46,67.0,80.0,2000.0,,0,0,0,0
1526,67,126.03,0.7013,54.9205,8.9313,12.11,8.52,87.0,126.0,1300.0,2018.0,10,6,18,6
4852,67,111.98,0.591,57.6044,-2.4058,19.44,10.32,53.9,71.0,2300.0,,0,0,7,0
1328,67,51.07,0.8419,51.1454,3.7752,12.73,6.79,177.5,119.5,3200.0,2017.0,8,6,27,3
1060,66,164.26,0.7464,51.8359,12.8761,2.99,2.92,165.0,40.0,6600.0,2025.0,9,0,21,9
2145,66,128.1,0.7808,-22.33,166.773,5.45,3.98,50.0,26.0,220.0,,0,0,0,0
1414,66,12.77,0.901,51.4375,8.6734,6.2,7.93,160.0,115.7,3000.0,2017.0,38,36,42,26
1096,66,174.1,0.9706,40.6739,-0.1044,1.78,5.71,58.4,77.0,1500.0,,0,66,66,0
3484,65,83.75,0.8281,41.6893,1.4477,11.92,5.43,60.7,80.0,2350.0,,0,0,1,0
3846,65,112.32,0.936,42.0321,-0.6886,9.8,4.37,93.0,52.0,900.0,,0,65,65,0
5344,65,177.89,0.9537,57.099,-4.4424,3.67,7.99,125.0,117.0,3600.0,,0,0,65,0
1397,65,26.14,0.6843,53.5401,11.8075,5.2,3.22,164.9,163.0,6800.0,2026.0,8,5,8,5
3945,65,6.51,0.9003,54.5022,16.7156,7.17,8.38,95.0,90.0,2000.0,2013.0,0,0,41,47
2222,64,48.07,0.7332,58.8057,-2.9494,14.33,7.9,45.0,52.0,850.0,,0,0,0,0
6929,64,162.28,0.9212,49.4584,-0.5089,7.61,12.03,78.0,82.0,2300.0,,0,0,0,0
20,64,7.46,0.8767,52.6899,13.6748,3.45,6.21,212.0,162.0,3300.0,2013.0,15,6,64,51
1251,64,15.07,0.9272,42.4278,-6.4337,5.32,10.31,39.5,52.0,850.0,,0,0,0,0
1071,63,156.17,0.973,41.2755,-2.4289,8.39,11.93,100.0,90.0,2000.0,,0,63,63,0
5383,63,35.41,0.7975,43.421,-6.6393,11.06,10.39,93.0,80.0,2625.0,,45,0,45,0
2242,63,6.51,0.7894,43.1967,2.8441,6.79,6.69,54.3,70.0,2300.0,2011.0,58,58,63,51
231,63,33.02,0.9885,51.5316,9.3024,8.78,9.05,149.0,72.0,550.0,,3,0,48,0
6396,62,134.53,0.8005,48.8566,-2.5419,13.88,10.78,80.0,90.0,8000.0,,0,0,62,0
1897,62,11.51,0.9158,42.7558,-4.0462,2.59,4.61,60.7,80.0,1.7,,0,62,62,0
6936,62,27.83,0.8269,50.1541,1.1281,13.91,12.7,65.0,66.0,8000.0,,0,0,62,0
4309,62,145.9,0.7617,58.9247,-2.8888,14.43,8.11,45.0,52.0,850.0,,0,0,0,0
2683,62,111.49,0.6856,38.9905,-2.579,6.85,4.02,68.3,90.0,1500.0,,0,0,62,0
2311,62,153.07,0.9665,40.6999,-0.8838,7.35,10.07,44.0,58.0,850.0,,0,62,0,0
5864,61,155.64,0.8088,62.845,17.236,9.08,6.37,145.0,149.0,4500.0,2021.0,61,61,60,61
1327,61,41.94,0.9046,42.3125,-7.4187,7.08,6.27,44.0,58.0,850.0,,0,0,0,0
398,61,159.34,0.6733,52.8511,12.4798,3.17,2.27,140.0,112.0,0.8,2025.0,0,0,47,6
367,61,74.91,0.7305,53.4811,12.0046,6.9,2.87,141.0,40.0,900.0,,1,0,6,0
1162,61,170.5,0.8736,52.0635,14.3369,4.44,6.62,165.0,163.0,2400.0,2014.0,8,8,60,47
3958,61,20.14,0.6323,42.0702,-1.5397,3.53,2.76,50.0,44.0,600.0,,60,60,61,0
7036,61,147.07,0.7507,46.8767,-2.5067,14.21,11.99,,,8000.0,,0,0,61,0
308,61,135.13,0.8202,51.5383,13.8558,5.95,3.94,196.0,126.0,3.3,2026.0,6,1,10,1
1371,61,111.71,0.5724,53.2948,6.9813,8.97,5.92,145.0,71.0,3300.0,2021.0,14,0,40,18
2969,61,159.37,0.9962,41.6716,-5.9441,7.05,15.31,60.7,80.0,1.6,,0,0,59,0
3180,60,10.05,0.9615,41.0157,-1.8945,5.54,12.29,80.0,90.0,1800.0,,51,51,51,0
602,60,4.61,0.5675,53.3271,12.0176,6.17,4.49,132.0,90.0,3600.0,,1,0,1,0
3439,60,9.73,0.7309,54.7536,-3.7128,4.02,3.8,80.0,90.0,3000.0,,0,0,60,0
5350,60,44.35,0.8345,57.3424,-3.1323,6.27,4.2,80.5,106.0,3000.0,,0,0,59,0
1111,60,3.14,0.801,42.4463,-3.4995,4.62,5.66,44.0,58.0,0.8,2004.0,0,60,60,1
135,60,150.57,0.9349,52.6151,9.4705,8.36,7.61,108.0,56.0,1300.0,,2,0,35,0
