farm_id,n_turbines,centroid_lat,centroid_lon,hub_height,rotor_diam,capacity_kw,hub_height_imputed,rotor_diam_imputed,capacity_imputed,pc1_angle,explained_var_ratio,grid_dist_km,spring_dir,autumn_dir,spring_conc,autumn_conc,budget,theta_econ,theta_eco,aep_cost_pct,risk_reduction,risk_reduction_abs
1317.0,140.0,52.5573,5.5967,128.0,127.0,5600.0,False,False,False,25.25,0.7065,9.383835548581114,56.6,242.8,0.8642,0.5441,0.05,0,60,0.5073,99.58,0.730243
1385.0,140.0,50.3235,6.4406,85.0,71.0,1500.0,False,False,False,167.21,0.7582,9.193643839794051,52.4,233.9,0.904,0.7145,0.005,0,40,0.4032,91.98,0.587583
1385.0,140.0,50.3235,6.4406,85.0,71.0,1500.0,False,False,False,167.21,0.7582,9.193643839794051,52.4,233.9,0.904,0.7145,0.01,0,50,0.5036,99.53,0.635793
1385.0,140.0,50.3235,6.4406,85.0,71.0,1500.0,False,False,False,167.21,0.7582,9.193643839794051,52.4,233.9,0.904,0.7145,0.02,0,50,0.5036,99.53,0.635793
1385.0,140.0,50.3235,6.4406,85.0,71.0,1500.0,False,False,False,167.21,0.7582,9.193643839794051,52.4,233.9,0.904,0.7145,0.05,0,50,0.5036,99.53,0.635793
1732.0,140.0,56.4774,8.2603,80.0,107.0,3075.0,False,False,False,51.48,0.5615,167.6722094589458,67.3,251.5,0.8773,0.4326,0.005,0,40,0.4786,73.35,0.63596
1732.0,140.0,56.4774,8.2603,80.0,107.0,3075.0,False,False,False,51.48,0.5615,167.6722094589458,67.3,251.5,0.8773,0.4326,0.01,0,70,0.8108,99.8,0.865296
1732.0,140.0,56.4774,8.2603,80.0,107.0,3075.0,False,False,False,51.48,0.5615,167.6722094589458,67.3,251.5,0.8773,0.4326,0.02,0,70,0.8108,99.8,0.865296
1732.0,140.0,56.4774,8.2603,80.0,107.0,3075.0,False,False,False,51.48,0.5615,167.6722094589458,67.3,251.5,0.8773,0.4326,0.05,0,70,0.8108,99.8,0.865296
1030.0,132.0,42.5789,-3.7835,112.0,87.0,2000.0,False,False,False,4.94,0.9666,118.98034421496307,49.6,250.5,0.9885,0.8988,0.005,0,20,0.3323,43.41,0.315582
1030.0,132.0,42.5789,-3.7835,112.0,87.0,2000.0,False,False,False,4.94,0.9666,118.98034421496307,49.6,250.5,0.9885,0.8988,0.01,0,30,0.6588,64.26,0.467116
1030.0,132.0,42.5789,-3.7835,112.0,87.0,2000.0,False,False,False,4.94,0.9666,118.98034421496307,49.6,250.5,0.9885,0.8988,0.02,0,50,1.9378,91.96,0.668489
